Using device: cuda:1
Start Training (Stable Version)...
Epoch [60/200] Loss: 1.0269 | Train Acc: 72.09% | Test Acc: 74.16% | LR: 0.000823
Epoch [61/200] Loss: 1.0074 | Train Acc: 72.51% | Test Acc: 75.05% | LR: 0.000816
Epoch [62/200] Loss: 0.9907 | Train Acc: 73.10% | Test Acc: 74.58% | LR: 0.000810
Epoch [63/200] Loss: 0.9977 | Train Acc: 72.83% | Test Acc: 74.35% | LR: 0.000804
Epoch [64/200] Loss: 0.9935 | Train Acc: 73.09% | Test Acc: 74.75% | LR: 0.000797
Epoch [65/200] Loss: 0.9732 | Train Acc: 73.54% | Test Acc: 74.66% | LR: 0.000791
Epoch [66/200] Loss: 0.9626 | Train Acc: 73.77% | Test Acc: 75.16% | LR: 0.000784
Epoch [67/200] Loss: 0.9677 | Train Acc: 73.71% | Test Acc: 74.51% | LR: 0.000778
Epoch [68/200] Loss: 0.9538 | Train Acc: 74.17% | Test Acc: 74.75% | LR: 0.000771
Epoch [69/200] Loss: 0.9437 | Train Acc: 74.38% | Test Acc: 75.24% | LR: 0.000764
Epoch [70/200] Loss: 0.9485 | Train Acc: 74.12% | Test Acc: 75.27% | LR: 0.000757
Epoch [71/200] Loss: 0.9354 | Train Acc: 74.67% | Test Acc: 75.63% | LR: 0.000750
Epoch [72/200] Loss: 0.9278 | Train Acc: 74.89% | Test Acc: 75.58% | LR: 0.000743
Epoch [73/200] Loss: 0.9105 | Train Acc: 75.13% | Test Acc: 75.31% | LR: 0.000736
Epoch [74/200] Loss: 0.9202 | Train Acc: 75.01% | Test Acc: 75.63% | LR: 0.000729
Epoch [75/200] Loss: 0.9182 | Train Acc: 75.25% | Test Acc: 74.98% | LR: 0.000722
Epoch [76/200] Loss: 0.9085 | Train Acc: 75.25% | Test Acc: 75.83% | LR: 0.000715
Epoch [77/200] Loss: 0.9056 | Train Acc: 75.41% | Test Acc: 75.09% | LR: 0.000707
Epoch [78/200] Loss: 0.8972 | Train Acc: 75.82% | Test Acc: 74.84% | LR: 0.000700
Epoch [79/200] Loss: 0.8739 | Train Acc: 76.10% | Test Acc: 76.21% | LR: 0.000693
Epoch [80/200] Loss: 0.8672 | Train Acc: 76.51% | Test Acc: 76.51% | LR: 0.000685
Epoch [81/200] Loss: 0.8815 | Train Acc: 76.31% | Test Acc: 76.03% | LR: 0.000678
Epoch [82/200] Loss: 0.8656 | Train Acc: 76.53% | Test Acc: 75.67% | LR: 0.000670
Epoch [83/200] Loss: 0.8526 | Train Acc: 76.99% | Test Acc: 76.16% | LR: 0.000662
Epoch [84/200] Loss: 0.8569 | Train Acc: 77.02% | Test Acc: 75.92% | LR: 0.000655
Epoch [85/200] Loss: 0.8459 | Train Acc: 77.13% | Test Acc: 75.74% | LR: 0.000647
Epoch [86/200] Loss: 0.8322 | Train Acc: 77.66% | Test Acc: 76.67% | LR: 0.000639
Epoch [87/200] Loss: 0.9185 | Train Acc: 75.74% | Test Acc: 75.99% | LR: 0.000632
Epoch [88/200] Loss: 0.8473 | Train Acc: 77.05% | Test Acc: 76.54% | LR: 0.000624
Epoch [89/200] Loss: 0.8654 | Train Acc: 76.81% | Test Acc: 72.34% | LR: 0.000616
Epoch [90/200] Loss: 0.8925 | Train Acc: 76.15% | Test Acc: 75.82% | LR: 0.000608
Epoch [91/200] Loss: 0.8287 | Train Acc: 77.45% | Test Acc: 76.51% | LR: 0.000600
Epoch [92/200] Loss: 0.8330 | Train Acc: 77.69% | Test Acc: 76.55% | LR: 0.000593
Epoch [93/200] Loss: 1.8336 | Train Acc: 57.45% | Test Acc: 75.69% | LR: 0.000585
Epoch [94/200] Loss: 0.9745 | Train Acc: 74.28% | Test Acc: 75.18% | LR: 0.000577
Epoch [95/200] Loss: 0.8456 | Train Acc: 77.04% | Test Acc: 76.81% | LR: 0.000569
Epoch [96/200] Loss: 0.8227 | Train Acc: 77.81% | Test Acc: 76.93% | LR: 0.000561
Epoch [97/200] Loss: 0.8159 | Train Acc: 78.33% | Test Acc: 75.14% | LR: 0.000553
Epoch [98/200] Loss: 0.8153 | Train Acc: 78.34% | Test Acc: 76.91% | LR: 0.000545
Epoch [99/200] Loss: 0.7848 | Train Acc: 78.78% | Test Acc: 77.04% | LR: 0.000537
Epoch [100/200] Loss: 0.7676 | Train Acc: 79.40% | Test Acc: 76.54% | LR: 0.000529
Epoch [101/200] Loss: 0.7621 | Train Acc: 79.51% | Test Acc: 76.87% | LR: 0.000521
Epoch [102/200] Loss: 0.7581 | Train Acc: 79.66% | Test Acc: 77.64% | LR: 0.000513
Epoch [103/200] Loss: 0.7482 | Train Acc: 79.72% | Test Acc: 77.16% | LR: 0.000505
Epoch [104/200] Loss: 0.7443 | Train Acc: 79.99% | Test Acc: 76.60% | LR: 0.000496
Epoch [105/200] Loss: 0.7330 | Train Acc: 80.35% | Test Acc: 77.32% | LR: 0.000488
Epoch [106/200] Loss: 0.7329 | Train Acc: 80.40% | Test Acc: 77.88% | LR: 0.000480
Epoch [107/200] Loss: 0.7274 | Train Acc: 80.54% | Test Acc: 77.97% | LR: 0.000472
Epoch [108/200] Loss: 0.7145 | Train Acc: 80.79% | Test Acc: 77.57% | LR: 0.000464
Epoch [109/200] Loss: 0.7081 | Train Acc: 81.19% | Test Acc: 77.86% | LR: 0.000456
Epoch [110/200] Loss: 0.7052 | Train Acc: 80.98% | Test Acc: 77.90% | LR: 0.000448
Epoch [111/200] Loss: 0.6900 | Train Acc: 81.61% | Test Acc: 77.72% | LR: 0.000440
Epoch [112/200] Loss: 0.6833 | Train Acc: 81.81% | Test Acc: 77.98% | LR: 0.000432
Epoch [113/200] Loss: 0.6824 | Train Acc: 81.75% | Test Acc: 78.05% | LR: 0.000424
Epoch [114/200] Loss: 0.6768 | Train Acc: 81.90% | Test Acc: 77.95% | LR: 0.000416
Epoch [115/200] Loss: 0.6758 | Train Acc: 81.94% | Test Acc: 77.88% | LR: 0.000408
Epoch [116/200] Loss: 0.6620 | Train Acc: 82.27% | Test Acc: 77.93% | LR: 0.000401
Epoch [117/200] Loss: 0.6629 | Train Acc: 82.09% | Test Acc: 78.16% | LR: 0.000393
Epoch [118/200] Loss: 0.6444 | Train Acc: 82.56% | Test Acc: 78.05% | LR: 0.000385
Epoch [119/200] Loss: 0.6519 | Train Acc: 82.57% | Test Acc: 77.86% | LR: 0.000377
Epoch [120/200] Loss: 0.6823 | Train Acc: 82.27% | Test Acc: 78.84% | LR: 0.000369
Epoch [121/200] Loss: 0.6482 | Train Acc: 82.72% | Test Acc: 78.67% | LR: 0.000362
Epoch [122/200] Loss: 0.6407 | Train Acc: 82.83% | Test Acc: 78.14% | LR: 0.000354
Epoch [123/200] Loss: 0.6389 | Train Acc: 83.07% | Test Acc: 77.85% | LR: 0.000346
Epoch [124/200] Loss: 0.6236 | Train Acc: 83.24% | Test Acc: 78.61% | LR: 0.000339
Epoch [125/200] Loss: 0.6226 | Train Acc: 83.43% | Test Acc: 78.60% | LR: 0.000331
Epoch [126/200] Loss: 0.6161 | Train Acc: 83.55% | Test Acc: 78.81% | LR: 0.000323
Epoch [127/200] Loss: 0.6105 | Train Acc: 83.81% | Test Acc: 78.89% | LR: 0.000316
Epoch [128/200] Loss: 0.6065 | Train Acc: 83.94% | Test Acc: 78.73% | LR: 0.000308
Epoch [129/200] Loss: 0.6083 | Train Acc: 83.83% | Test Acc: 78.54% | LR: 0.000301
Epoch [130/200] Loss: 0.5936 | Train Acc: 84.37% | Test Acc: 79.36% | LR: 0.000294
Epoch [131/200] Loss: 0.5823 | Train Acc: 84.50% | Test Acc: 78.88% | LR: 0.000286
Epoch [132/200] Loss: 0.5826 | Train Acc: 84.60% | Test Acc: 78.67% | LR: 0.000279
Epoch [133/200] Loss: 0.5857 | Train Acc: 84.61% | Test Acc: 78.91% | LR: 0.000272
Epoch [134/200] Loss: 0.5691 | Train Acc: 84.91% | Test Acc: 79.06% | LR: 0.000265
Epoch [135/200] Loss: 0.5611 | Train Acc: 84.95% | Test Acc: 79.76% | LR: 0.000258
Epoch [136/200] Loss: 0.5641 | Train Acc: 85.23% | Test Acc: 79.25% | LR: 0.000251
Epoch [137/200] Loss: 0.5592 | Train Acc: 85.06% | Test Acc: 78.72% | LR: 0.000244
Epoch [138/200] Loss: 0.5592 | Train Acc: 85.26% | Test Acc: 78.95% | LR: 0.000237
Epoch [139/200] Loss: 0.5498 | Train Acc: 85.49% | Test Acc: 79.56% | LR: 0.000230
Epoch [140/200] Loss: 0.5416 | Train Acc: 85.71% | Test Acc: 79.08% | LR: 0.000223
Epoch [141/200] Loss: 0.5280 | Train Acc: 85.96% | Test Acc: 79.69% | LR: 0.000217
Epoch [142/200] Loss: 0.5246 | Train Acc: 86.28% | Test Acc: 79.22% | LR: 0.000210
Epoch [143/200] Loss: 0.5288 | Train Acc: 86.05% | Test Acc: 79.45% | LR: 0.000204
Epoch [144/200] Loss: 0.5265 | Train Acc: 86.36% | Test Acc: 79.55% | LR: 0.000197
Epoch [145/200] Loss: 0.5199 | Train Acc: 86.33% | Test Acc: 79.39% | LR: 0.000191
Epoch [146/200] Loss: 0.5212 | Train Acc: 86.26% | Test Acc: 79.56% | LR: 0.000185
Epoch [147/200] Loss: 0.5081 | Train Acc: 86.53% | Test Acc: 79.33% | LR: 0.000178
Epoch [148/200] Loss: 0.5061 | Train Acc: 86.72% | Test Acc: 79.29% | LR: 0.000172
Epoch [149/200] Loss: 0.4977 | Train Acc: 86.84% | Test Acc: 79.83% | LR: 0.000166
Epoch [150/200] Loss: 0.4961 | Train Acc: 86.97% | Test Acc: 79.52% | LR: 0.000160
Epoch [151/200] Loss: 0.4933 | Train Acc: 87.06% | Test Acc: 79.80% | LR: 0.000154
Epoch [152/200] Loss: 0.4937 | Train Acc: 86.93% | Test Acc: 80.32% | LR: 0.000149
Epoch [153/200] Loss: 0.4926 | Train Acc: 87.14% | Test Acc: 79.99% | LR: 0.000143
Epoch [154/200] Loss: 0.4752 | Train Acc: 87.54% | Test Acc: 80.20% | LR: 0.000137
Epoch [155/200] Loss: 0.4723 | Train Acc: 87.54% | Test Acc: 80.08% | LR: 0.000132
Epoch [156/200] Loss: 0.4700 | Train Acc: 87.66% | Test Acc: 80.12% | LR: 0.000127
Epoch [157/200] Loss: 0.4565 | Train Acc: 88.06% | Test Acc: 80.11% | LR: 0.000121
Epoch [158/200] Loss: 0.4632 | Train Acc: 87.87% | Test Acc: 80.48% | LR: 0.000116
Epoch [159/200] Loss: 0.4664 | Train Acc: 87.86% | Test Acc: 80.43% | LR: 0.000111
Epoch [160/200] Loss: 0.4545 | Train Acc: 87.98% | Test Acc: 80.51% | LR: 0.000106
Epoch [161/200] Loss: 0.4482 | Train Acc: 88.19% | Test Acc: 80.85% | LR: 0.000101
Epoch [162/200] Loss: 0.4393 | Train Acc: 88.63% | Test Acc: 80.54% | LR: 0.000096
Epoch [163/200] Loss: 0.4492 | Train Acc: 88.24% | Test Acc: 80.50% | LR: 0.000092
Epoch [164/200] Loss: 0.4422 | Train Acc: 88.45% | Test Acc: 80.89% | LR: 0.000087
Epoch [165/200] Loss: 0.4348 | Train Acc: 88.60% | Test Acc: 80.65% | LR: 0.000083
Epoch [166/200] Loss: 0.4361 | Train Acc: 88.55% | Test Acc: 80.42% | LR: 0.000078
Epoch [167/200] Loss: 0.4296 | Train Acc: 88.78% | Test Acc: 80.51% | LR: 0.000074
Epoch [168/200] Loss: 0.4240 | Train Acc: 88.88% | Test Acc: 81.03% | LR: 0.000070
Epoch [169/200] Loss: 0.4293 | Train Acc: 88.90% | Test Acc: 80.70% | LR: 0.000066
Epoch [170/200] Loss: 0.4228 | Train Acc: 89.00% | Test Acc: 80.65% | LR: 0.000062
Epoch [171/200] Loss: 0.4145 | Train Acc: 89.01% | Test Acc: 80.62% | LR: 0.000058
Epoch [172/200] Loss: 0.4186 | Train Acc: 89.02% | Test Acc: 80.72% | LR: 0.000055
Epoch [173/200] Loss: 0.4081 | Train Acc: 89.36% | Test Acc: 80.58% | LR: 0.000051
Epoch [174/200] Loss: 0.4068 | Train Acc: 89.39% | Test Acc: 80.85% | LR: 0.000048
Epoch [175/200] Loss: 0.4076 | Train Acc: 89.39% | Test Acc: 80.58% | LR: 0.000044
Epoch [176/200] Loss: 0.4049 | Train Acc: 89.44% | Test Acc: 81.01% | LR: 0.000041
Epoch [177/200] Loss: 0.4034 | Train Acc: 89.57% | Test Acc: 80.78% | LR: 0.000038
Epoch [178/200] Loss: 0.3951 | Train Acc: 89.63% | Test Acc: 81.10% | LR: 0.000035
Epoch [179/200] Loss: 0.3988 | Train Acc: 89.60% | Test Acc: 80.85% | LR: 0.000032
Epoch [180/200] Loss: 0.3936 | Train Acc: 89.73% | Test Acc: 80.77% | LR: 0.000029
Epoch [181/200] Loss: 0.3953 | Train Acc: 89.70% | Test Acc: 80.95% | LR: 0.000027
Epoch [182/200] Loss: 0.3945 | Train Acc: 89.69% | Test Acc: 81.08% | LR: 0.000024
Epoch [183/200] Loss: 0.3882 | Train Acc: 89.75% | Test Acc: 80.92% | LR: 0.000022
Epoch [184/200] Loss: 0.3877 | Train Acc: 89.87% | Test Acc: 80.93% | LR: 0.000020
Epoch [185/200] Loss: 0.3828 | Train Acc: 89.87% | Test Acc: 81.10% | LR: 0.000018
Epoch [186/200] Loss: 0.3908 | Train Acc: 89.90% | Test Acc: 81.05% | LR: 0.000016
Epoch [187/200] Loss: 0.3796 | Train Acc: 90.03% | Test Acc: 81.14% | LR: 0.000014
Epoch [188/200] Loss: 0.3878 | Train Acc: 89.87% | Test Acc: 81.16% | LR: 0.000012
